(570, 170)
(730, 130)
(450, 290)
(250, 450)
(410, 450)
(610, 250)
(10, 10)
(690, 450)
(490, 370)
(410, 170)
(530, 570)
(1010, 50)
(90, 690)
(690, 10)
(450, 610)
(530, 450)
(530, 50)
(290, 170)
(730, 210)
(410, 490)
(1010, 450)
(610, 10)
(770, 410)
(890, 170)
(570, 90)
(610, 530)
(290, 370)
(330, 210)
(850, 170)
(90, 650)
(650, 410)
(90, 250)
(650, 610)
(10, 450)
(850, 450)
(130, 210)
(450, 450)
(810, 170)
(210, 370)
(770, 330)
(410, 210)
(50, 490)
(770, 50)
(330, 530)
(290, 290)
(690, 530)
(250, 530)
(850, 530)
(610, 410)
(330, 90)
(170, 10)
(250, 330)
(850, 250)
(10, 370)
(290, 10)
(850, 10)
(770, 370)
(610, 370)
(370, 730)
(610, 450)
(330, 250)
(650, 330)
(10, 290)
(290, 690)
(970, 730)
(10, 330)
(490, 210)
(930, 490)
(650, 730)
(890, 330)
(290, 490)
(210, 330)
(450, 370)
(130, 490)
(250, 570)
(330, 570)
(410, 570)
(650, 130)
(290, 450)
(890, 10)
(530, 90)
(90, 410)
(90, 490)
(570, 370)
(490, 530)
(90, 10)
(730, 170)
(570, 610)
(410, 610)
(290, 250)
(330, 10)
(530, 490)
(130, 530)
(370, 90)
(490, 410)
(770, 210)
(970, 250)
(650, 570)
(970, 290)
(1010, 10)
(610, 290)
(250, 610)
(290, 130)
(610, 490)
(130, 730)
(210, 290)
(450, 170)
(410, 650)
(410, 330)
(890, 530)
(930, 90)
(370, 610)
(930, 10)
(450, 570)
(890, 370)
(570, 410)
(50, 450)
(1010, 610)
(50, 610)
(850, 690)
(170, 690)
(50, 690)
(370, 490)
(570, 210)
(690, 650)
(490, 10)
(530, 530)
(650, 450)
(250, 650)
(450, 330)
(250, 50)
(130, 690)
(50, 730)
(450, 130)
(10, 130)
(90, 50)
(930, 330)
(410, 90)
(810, 650)
(210, 90)
(410, 690)
(1010, 210)
(810, 490)
(290, 330)
(970, 490)
(810, 570)
(370, 130)
(770, 530)
(50, 410)
(970, 330)
(570, 730)
(930, 610)
(450, 410)
(410, 50)
(570, 250)
(330, 370)
(650, 690)
(130, 610)
(890, 290)
(770, 90)
(130, 90)
(250, 90)
(650, 650)
(690, 730)
(370, 50)
(690, 210)
(970, 130)
(50, 250)
(450, 250)
(730, 570)
(610, 50)
(930, 170)
(850, 490)
(210, 50)
(290, 410)
(650, 210)
(570, 450)
(90, 90)
(530, 250)
(890, 650)
(730, 650)
(450, 90)
(970, 50)
(330, 130)
(90, 730)
(850, 570)
(850, 210)
(890, 610)
(330, 410)
(770, 650)
(170, 450)
(250, 730)
(1010, 130)
(250, 130)
(170, 730)
(210, 170)
(50, 650)
(450, 210)
(730, 250)
(90, 450)
(690, 490)
(330, 730)
(970, 690)
(970, 210)
(210, 10)
(570, 530)
(210, 610)
(810, 10)
(1010, 730)
(530, 210)
(1010, 170)
(370, 650)
(330, 170)
(290, 610)
(850, 410)
(570, 330)
(130, 330)
(490, 130)
(890, 730)
(10, 210)
(890, 690)
(250, 170)
(1010, 330)
(770, 250)
(650, 530)
(730, 410)
(490, 250)
(450, 10)
(690, 90)
(10, 530)
(890, 130)
(90, 530)
(530, 290)
(10, 490)
(210, 570)
(1010, 690)
(490, 730)
(570, 50)
(210, 490)
(810, 610)
(970, 170)
(570, 490)
(170, 530)
(930, 450)
(850, 370)
(1010, 250)
(1010, 370)
(450, 690)
(170, 370)
(730, 330)
(850, 730)
(290, 730)
(250, 210)
(810, 90)
(170, 650)
(50, 210)
(170, 210)
(530, 610)
(810, 210)
(970, 90)
(730, 690)
(770, 490)
(170, 490)
(330, 490)
(810, 690)
(210, 530)
(370, 170)
(930, 570)
(490, 290)
(570, 650)
(210, 450)
(770, 130)
(930, 730)
(10, 690)
(290, 570)
(650, 90)
(370, 570)
(850, 330)
(690, 690)
(370, 450)
(930, 210)
(730, 610)
(130, 10)
(690, 370)
(610, 730)
(890, 210)
(130, 50)
(130, 290)
(250, 250)
(370, 210)
(1010, 410)
(50, 170)
(490, 170)
(170, 130)
(170, 330)
(690, 410)
(370, 370)
(930, 250)
(610, 690)
(890, 490)
(770, 690)
(1010, 290)
(410, 10)
(10, 50)
(370, 530)
(650, 50)
(330, 290)
(1010, 530)
(970, 570)
(50, 90)
(410, 250)
(290, 530)
(210, 250)
(50, 370)
(170, 290)
